First number is origin-blockface, rest are neighbors that can be reached from origin blockface #notes
121921, 55473, 9349
81482, 9278, 13521, 32017
81481, 9278, 13521, 32017	#opposing blockface on oneway (above)
81454,                          #leads out of district
81453, 24050
81342, 30102, 30101, 35946, 35945
81297, 74025, 74026, 13305, 13306
81294, 52529, 52530, 13298, 81066  #Denny Way, 5th Ave, Vine St mess, note: vine street is super low traffic, u turn is entirely reasonable (13297)
81293, 52529, 52530, 13298, 81066  #opposing blockface on oneway (above)
81290, 6197, 6198, 81294, 81293
81289, 6197, 6198, 81294, 81293    #opposing blockface on oneway (above)
81066,                             #leads out of district, part of the Denny Way triangle mess
81065, 52529, 52530, 13298         #part of Denny Way triangle mess, 1/3 of 7265 accessible
80882, 51485                       #4th Ave and Stewart traingle, boundary of Belltown/Westlake Center
80881, 51485		           #opposing blockface on oneway (above)
79358, 79354, 49650, 4433
79354, 70746, 11397, 11398
78122, 9674, 10218                 #arterial to US-99 SB viaduct
78118, 10213, 10214, 58677, 35942  #arterial to US-99 SB viaduct  #this would be a good one to show the relative accuracy of the blockface lat/longs
78117, 10213, 10214, 58677, 35942  #opposing blockface on oneway (above), arterial to US-99 SB viaduct
78042, 2789, 2790
78041, 1033, 55429
77574, 58814, 58813, 77570, 77569
77573, 58814, 58813, 77570, 77569  #opposing blockface on oneway (above)
77570, 78122
77569, 78122 			   #opposing blockface on oneway (above)
77349, 1034, 54669, 1029
77226,			           #leads out of district
77225,			           #opposing blockface on oneway (above), leads out of district
77222, 77226, 77225, 7261, 7262
77221, 77226, 77225, 7261, 7262    #opposing blockface on oneway (above)
77218, 49654, 9357, 9358, 49649
77217, 49654, 9357, 9358, 49649    #opposing blockface on oneway (above)
77122, 75169, 75170, 32030
77118, 25710, 25709, 32022
76990,                  #leads out of district, opposing blockface on oneway (below)
76989, 				   #leads out of district #Denny way triangle mess at US-99 on ramps/Elephant Car Wash
76986, 31893, 31894, 27277
76985, 31893, 31894, 27277  #opposing blockface on oneway (above)
76626, 			           #Alaskan way, no immediately reachable blockfaces
76625, 8837, 58610, 58609
76622, 31494
76621, 31489
75170, 77225, 77226, 7261, 7262    #5th Ave, questionable if one can switch between blockfaces ahead (7261, 7262)
75169, 77225, 77226, 7261, 7262    #opposing blockface on oneway (above), 5th Ave
74034, 13349, 28958, 28957
74033, 13349, 28958, 28957         #opposing blockface on oneway (above)
74030, 51490, 51489, 77221, 77222
74029, 51490, 51489, 77221, 77222  #opposing blockface on oneway (above)
74026, 74029, 74030, 79358
74025, 74029, 74030, 79358         #opposing blockface on oneway (above)
72333, 54673, 4441, 4442
72330, 54953, 32430, 27281
72329, 54953, 32430, 27281         #opposing blockface on oneway (above)
70758, 2785, 2786, 9721, 9722
70757, 2785, 2786, 9721, 9722      #opposing blockface on oneway (above)
70754, 25713, 25714, 76986, 76985
